YEAR,MONTH,DATE,SITE,TRANSECT,SIDE,QUAD_NO,SP_CODE,COUNT,NOTES,OBSERVER,ENTERED BY,CHECKED BY
2016,8,8/23/16,Ft Wetherill,1,OFF,Q0,SL,16,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q0,SLJ,3,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q0,LADI,2,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q0,URFE,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q8,SL,19,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q8,SLJ,40,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q8,LADI,8,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q8,STCL,2,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q8,MESE,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q8,BUCR,2,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q16,SL,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q16,LADI,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q16,LDJ,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q24,SL,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q24,SLJ,3,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q24,MESE,4,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q24,LDJ,3,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q24,BOEC,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q32,SL,3,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q32,LADI,2,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q32,MESE,5,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q32,BOEC,6,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q32,PHGU,7,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q32,ASFO,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q32,BOOV,2,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,OFF,Q32,HOAS,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q40,SL,2,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q40,SLJ,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q40,LADI,8,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q40,LDJ,5,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,1,ON,Q40,MYSP,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q0,SL,12,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q0,SLJ,4,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q0,MESE,18,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q0,BUUN,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q0,PHGU,1,I'll check the hard copy,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,ON,Q8,LADI,2,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,ON,Q8,LDJ,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q16,SL,12,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q16,SLJ,2,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q16,MESE,3,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q16,LADI,4,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q16,LDJ,1,,Tal,Tal,Jack
2016,8,8/23/16,Ft Wetherill,2,OFF,Q16,ASFO,1,,Tal,Tal,Jack
