YEAR,MONTH,DATE,SITE,TRANSECT,SIDE,QUAD,SP_CODE,COUNT,NOTES,OBSERVER,ENTERED BY,CHECKED BY
2017,8,8/29/17,Ft Wetherill,1,OFF,0,CRFO,3,Crepidula fornicada,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,1,ON,8,SL,3,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,1,OFF,16,SL,3,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,1,OFF,16,ASFO,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,1,OFF,16,URCI,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,1,ON,24,URCI,3,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,1,OFF,32,SLJ,2,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,1,OFF,32,CRFO,2,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,1,OFF,32,URCI,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,1,ON,40,SL,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,1,ON,40,SLJ,2,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,1,ON,40,MYSP,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,1,ON,40,CRFO,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,1,ON,40,LADI,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
2017,8,8/29/17,Ft Wetherill,1,ON,40,PLMA,1,,Tal Ben-Horin,Tal Ben-Horin,Austin Humphries
