YEAR,MONTH,DATE,SITE,TRANSECT,SP_CODE,LENGTH_CM,WIDTH_CM,STIPE_LENGTH_CM,OBS_CODE,NOTES,ENTERED BY,CHECKED BY
2016,8,8/23/16,Ft Weatherill,1,LADI,104,25,11,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,1,LADI,63,23,5,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,1,LADI,66,50,4,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,1,LADI,84,30,5,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,1,LADI,44,34,9,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,1,LADI,54,34,3,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,1,LADI,82,19,5,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,1,LADI,41,14,4,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,1,LADI,92,29,5,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,1,LADI,81,13,5,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,1,SL,84,11,9,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,1,SL,112,10,14,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,1,SL,136,10,8,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,1,SL,61,7,4,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,1,SL,58,6,9,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,1,SL,84,12,8,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,1,SL,32,6,3,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,1,SL,51,4,5,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,1,SL,34,3,3,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,1,SL,28,3,2,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,LADI,74,25,12,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,LADI,107,59,13,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,LADI,33,24,12,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,LADI,81,28,11,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,LADI,71,68,12,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,LADI,75,24,9,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,LADI,66,25,8,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,LADI,66,45,8,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,LADI,57,54,6,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,LADI,61,42,9,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,SL,27,6,2,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,SL,72,15,12,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,SL,115,10,9,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,SL,48,9,3,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,SL,80,11,10,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,SL,84,10,10,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,SL,30,10,6,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,SL,74,11,7,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,SL,29,6,3,AH,,Evans,Austin
2016,8,8/23/16,Ft Weatherill,2,SL,74,9,10,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,4,SL,27,6,4,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,4,SL,50,6,5,AH,,Evans,Austin
2016,8,8/24/16,Ft Weatherill,4,SL,35,4,3,AH,,Evans,Austin
