Year,Month,Day,Date,Site,Transect,SP_CODE,BLADE LENGTH (CM),WIDTH (CM),STIPE LENGTH (CM),OBSERVER,NOTES,ENTERED
2017,8,29,8/29/17,Fort Wetherill,1,SL,117.2,16.8,NA,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,1,SL,105.2,10,6.4,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,1,SL,133,13,1,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,1,SL,125.8,14.6,NA,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,1,SL,76.1,20,NA,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,1,SL,73,12,NA,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,1,SL,107,17.6,2.4,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,1,SL,74.2,11,NA,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,1,SL,78,12.4,NA,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,1,SL,84,7.8,1.6,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,2,LD,77,58,6,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,2,LD,67,48,9,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,2,LD,67,41,10,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,2,LD,70,36,7,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,2,LD,89,45,5,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,2,SL,43.8,19,6.5,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,2,SL,114,15,5,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,2,SL,42,6.4,3.5,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,2,SL,63,7.6,6.4,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,2,SL,80,7.2,4,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,2,SL,50,5,5,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,2,SL,64,5,4.6,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,2,SL,61,6,5,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,2,SL,56,5,6,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,29,8/29/17,Fort Wetherill,2,SL,53,6,4,LINDSEY GREEN,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,3,SL,124.6,7.4,5,CHRIS PIAGHT,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,3,SL,51.6,10,14,CHRIS PIAGHT,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,3,SL,93,10.4,13,CHRIS PIAGHT,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,3,LD,69,25,5.4,CHRIS PIAGHT,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,3,LD,84,38,14,CHRIS PIAGHT,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,3,LD,58.6,25.6,5,CHRIS PIAGHT,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,3,SL,122,12.2,7.4,CHRIS PIAGHT,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,3,SL,92,13,7,CHRIS PIAGHT,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,3,LD,31.2,18.4,2,CHRIS PIAGHT,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,3,LD,87,22.4,4.6,CHRIS PIAGHT,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,3,SL,61,6.2,7,CHRIS PIAGHT,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,3,SL,67.8,5.8,4,CHRIS PIAGHT,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,3,SL,67,7,4,CHRIS PIAGHT,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,3,SL,51.4,7.4,3.4,CHRIS PIAGHT,,CHRIS PIAGHT
2017,8,31,8/31/17,Fort Wetherill,3,SL,66,5.8,4,CHRIS PIAGHT,,CHRIS PIAGHT
