Year,Month,Day,Date,Site,Transect,SP_CODE,BLADE LENGTH (CM),WIDTH (CM),STIPE LENGTH (CM),OBSERVER,NOTES,ENTERED,CHECKED BY
2018,9,10,9/10/18,Fort Wetherill,2,SL,45,7,6,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,SL,52,6,7,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,SL,36,5,4,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,SL,40,5,4,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,SL,48,4,6,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,SL,42,6,6,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,SL,43,5,18,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,SL,39,6,4,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,SL,45,8,5,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,SL,38,5,4,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,LADI,53,33,7,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,LADI,56,25,15,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,LADI,69,19,20,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,LADI,33,22,6,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,LADI,61,36,4,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,LADI,77,29,*,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,LADI,74,35,6,Austin Humphries,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Fort Wetherill,2,LADI,48,22,5,Austin Humphries,,Lauren Josephs,Austin Humphries
