YEAR,MONTH,DAY,DATE,SITE,TRANSECT,SIDE,DISTANCE,SP_CODE_0,SP_CODE_1,SP_CODE_2,SP_CODE_3,SP_CODE_4,SP_CODE_5,SUBSTRTE,OBSERVER,NOTES,ENTERED BY,CHECKED BY
2017,8,29,8/29/17,Ft. Weatherill,1,I,1,.,.,.,.,.,.,BL,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,29,8/29/17,Ft. Weatherill,1,O,1,GRAM,.,.,.,.,.,BL,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,29,8/29/17,Ft. Weatherill,1,I,2,CLSP,.,.,.,.,.,BS,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,29,8/29/17,Ft. Weatherill,1,O,2,CLSP,.,.,.,.,.,BM,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,29,8/29/17,Ft. Weatherill,1,I,3,.,.,.,.,.,.,BS,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,29,8/29/17,Ft. Weatherill,1,O,3,BUNE,.,.,.,.,.,BM,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,29,8/29/17,Ft. Weatherill,1,I,4,.,.,.,.,.,.,BM,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,29,8/29/17,Ft. Weatherill,1,O,4,GRAM,.,.,.,.,.,BL,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,29,8/29/17,Ft. Weatherill,1,I,5,.,.,.,.,.,.,BL,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,29,8/29/17,Ft. Weatherill,1,O,5,BUNE,.,.,.,.,.,BL,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,29,8/29/17,Ft. Weatherill,1,I,6,.,.,.,.,.,.,SH,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
2017,8,29,8/29/17,Ft. Weatherill,1,O,6,.,.,.,.,.,.,BL,L. Green-Gavrielidis,,L. Green-Gavrielidis,Austin Humphries
