HABITAT,CONTROL,YEAR,MONTH,DAY,DATE,REGION,SITE,TRANSECT,SP_CODE,0-20 IN,20-40 IN,40-20 OFF,20-0 OFF,OBSERVER,NOTES,ENTERED BY,CHECKED BY,DEPTH@0M,DEPTH@40M,VIS,TEMP
Kelp,1,2021,9,20,9/20/21,Narragansett Bay,KB,5,ASDA,,,,,Conor,Check these dates -- I believe they should be 2022?,Pat,,,,,
Kelp,1,2021,9,20,9/20/21,Narragansett Bay,KB,1,ASDA,9,6,12,10,Conor,Check these dates -- I believe they should be 2022?,Pat,,,,,
Kelp,1,2021,9,20,9/20/21,Narragansett Bay,KB,1,URCI,2,,,2,Conor,Check these dates -- I believe they should be 2022?,Pat,,,,,
Kelp,1,2021,9,20,9/20/21,Narragansett Bay,KB,1,ARPU,9,7,1,4,Conor,Check these dates -- I believe they should be 2022?,Pat,,,,,
Kelp,1,2021,9,20,9/20/21,Narragansett Bay,KB,1,HESA,1,,,3,Conor,Check these dates -- I believe they should be 2022?,Pat,,,,,
,,2022,7,6,7/6/22,Narragansett Bay,FW,5,ASDA,7,2,5,1,Austin,Fishing hole site -- used to be #4 I believe,Austin,Austin,,,,
,,2022,7,6,7/6/22,Narragansett Bay,FW,5,BUUN,,3,2,,Austin,Fishing hole site -- used to be #4 I believe,Austin,Austin,,,,
,,2022,7,6,7/6/22,Narragansett Bay,FW,5,ASFO,2,1,,1,Austin,Fishing hole site -- used to be #4 I believe,Austin,Austin,,,,
,,2022,7,6,7/6/22,Narragansett Bay,FW,5,HOAM,,1,,,Austin,Fishing hole site -- used to be #4 I believe,Austin,Austin,,,,
,,2022,7,6,7/6/22,Narragansett Bay,FW,5,ALDI,7,,,,Austin,Fishing hole site -- used to be #4 I believe,Austin,Austin,,,,
,,2022,7,6,7/6/22,Narragansett Bay,FW,5,GERU,2,,5,2,Austin,Fishing hole site -- used to be #4 I believe,Austin,Austin,,,,
,,2022,7,5,7/5/22,Narragansett Bay,FW,3,ASFO,2,,,,Emma,,Austin,Austin,,,,
,,2022,7,5,7/5/22,Narragansett Bay,FW,3,ASDA,7,30,12,10,Emma,,Austin,Austin,,,,
,,2022,7,5,7/5/22,Narragansett Bay,FW,3,BUUN,4,3,4,8,Emma,,Austin,Austin,,,,
,,2022,7,5,7/5/22,Narragansett Bay,FW,3,GERU,1,6,,,Emma,,Austin,Austin,,,,
,,2022,7,5,7/5/22,Narragansett Bay,FW,4,ASDA,24,15,20,28,Emma,"East cove, west wall -- ""control"" site",Austin,Austin,,,,
,,2022,7,5,7/5/22,Narragansett Bay,FW,4,MEME,2,,,,Emma,,Austin,Austin,,,,
,,2022,7,5,7/5/22,Narragansett Bay,FW,4,BUUN,1,,1,5,Emma,,Austin,Austin,,,,
,,2022,7,5,7/5/22,Narragansett Bay,FW,4,HESA,,,1,,Emma,,Austin,Austin,,,,
,,2022,7,5,7/5/22,Narragansett Bay,FW,4,GERU,4,4,1,,Emma,,Austin,Austin,,,,
,,2022,7,5,7/5/22,Narragansett Bay,FW,4,LUHE,,,,2,Emma,,Austin,Austin,,,,
,,2022,7,6,7/6/22,Narragansett Bay,FW,6,ASDA,7,8,2,7,Austin,,Austin,Austin,,,,
,,2022,7,6,7/6/22,Narragansett Bay,FW,6,ASFO,1,,3,,Austin,,Austin,Austin,,,,
,,2022,7,6,7/6/22,Narragansett Bay,FW,6,BUUN,1,,,3,Austin,,Austin,Austin,,,,
,,2022,7,6,7/6/22,Narragansett Bay,FW,6,GERU,5,7,4,2,Austin,,Austin,Austin,,,,
,,2022,7,6,7/6/22,Narragansett Bay,FW,6,purple sea urchin,,1,,,Austin,,Austin,Austin,,,,
,,2022,7,8,7/8/22,Narragansett Bay,KB,4,ASDA,5,2,1,3,Austin,,Austin,Austin,,,,
,,2022,7,8,7/8/22,Narragansett Bay,KB,4,ALDI,2,5,3,,Austin,,Austin,Austin,,,,
,,2022,7,8,7/8/22,Narragansett Bay,KB,4,BUUN,,1,1,,Austin,,Austin,Austin,,,,
,,2022,7,8,7/8/22,Narragansett Bay,KB,4,HOAM,,1,,,Austin,,Austin,Austin,,,,
,,2022,7,11,7/11/22,Narragansett Bay,FW,1,ASDA,5,2,5,10,Austin,,Austin,Austin,,,,
,,2022,7,11,7/11/22,Narragansett Bay,FW,1,ASFO,,1,,,Austin,,Austin,Austin,,,,
,,2022,7,11,7/11/22,Narragansett Bay,FW,1,BUCA,2,,1,,Austin,,Austin,Austin,,,,
,,2022,7,11,7/11/22,Narragansett Bay,FW,1,GERU,5,7,,,Austin,,Austin,Austin,,,,
,,2022,7,11,7/11/22,Narragansett Bay,FW,1,ALDI,,7,3,,Austin,,Austin,Austin,,,,
,,2022,7,8,7/8/22,Narragansett Bay,KB,3,ASDA,6,3,2,6,Austin,,Austin,Austin,,,,
,,2022,7,8,7/8/22,Narragansett Bay,KB,3,GERU,10,7,4,7,Austin,,Austin,Austin,,,,
,,2022,7,8,7/8/22,Narragansett Bay,KB,2,ASDA,2,3,1,1,Austin,,Austin,Austin,,,,
,,2022,7,8,7/8/22,Narragansett Bay,KB,2,BUUN,,1,1,,Austin,,Austin,Austin,,,,
,,2022,7,8,7/8/22,Narragansett Bay,KB,2,ALDI,5,2,,3,Austin,,Austin,Austin,,,,
,,2022,7,8,7/8/22,Narragansett Bay,KB,2,HOAM,1,,,,Austin,,Austin,Austin,,,,
,,2022,7,8,7/8/22,Narragansett Bay,KB,2,purple sea urchin,,,1,,Austin,,Austin,Austin,,,,
,,2022,7,11,7/11/22,Narragansett Bay,FW,2,ASDA,15,10,3,2,Austin,,Austin,Austin,,,,
,,2022,7,11,7/11/22,Narragansett Bay,FW,2,BUCA,,2,,,Austin,,Austin,Austin,,,,
,,2022,7,11,7/11/22,Narragansett Bay,FW,2,GERU,7,3,,,Austin,,Austin,Austin,,,,
