YEAR,MONTH,DAY,DATE,SITE,TRANSECT,SP_CODE,0-20 IN,20-40 IN,40-20 OFF,20-0 OFF,OBSERVER
2023,6,26,6/26/23,FW,3,HATO,10,5,5,15,Danielle
2023,6,26,6/26/23,FW,3,ASDA,17,0,10,10,Danielle
2023,6,26,6/26/23,FW,3,CHFI,1,1,2,2,Danielle
2023,6,26,6/26/23,FW,3,TAAD,20,15,10,20,Danielle
2023,6,26,6/26/23,FW,3,ALDI,0,5,0,0,Danielle
2023,6,26,6/26/23,FW,3,LUHE,2,0,0,2,Danielle
2023,6,26,6/26/23,FW,3,CEST,2,1,1,0,Danielle
2023,6,26,6/26/23,FW,3,HESA,1,0,0,0,Danielle
2023,6,26,6/26/23,FW,3,ASFO,1,0,0,0,Danielle
2023,6,26,6/26/23,FW,5,CHFI,2,0,0,3,Danielle
2023,6,26,6/26/23,FW,5,ASDA,4,10,4,5,Danielle
2023,6,26,6/26/23,FW,5,CEBO,2,0,0,0,Danielle
2023,6,26,6/26/23,FW,5,TAAD,20,15,10,30,Danielle
2023,6,26,6/26/23,FW,5,CEST,0,0,0,2,Danielle
2023,6,26,6/26/23,FW,4,ALDI,5,0,15,10,Danielle
2023,6,26,6/26/23,FW,4,ASDA,15,10,25,7,Danielle
2023,6,26,6/26/23,FW,4,TAAD,30,20,30,40,Danielle
2023,6,26,6/26/23,FW,4,ASRU,2,0,0,0,Danielle
2023,6,26,6/26/23,FW,4,HESA,2,0,2,0,Danielle
2023,6,26,6/26/23,FW,4,CEBO,0,5,10,0,Danielle
2023,6,26,6/26/23,FW,4,LUHE,0,5,3,0,Danielle
2023,6,26,6/26/23,FW,4,CEST,0,0,2,0,Danielle
2023,6,26,6/26/23,FW,4,HESA,0,0,2,0,Danielle
2023,6,29,6/29/23,FW,2,ALDI,15,15,0,15,Danielle
2023,6,29,6/29/23,FW,2,ASDA,30,10,0,10,Danielle
2023,6,29,6/29/23,FW,2,CEBO,10,5,0,0,Danielle
2023,6,29,6/29/23,FW,2,GERU,33,10,5,5,Danielle
2023,6,29,6/29/23,FW,2,TAAD,35,38,39,52,Danielle
2023,6,29,6/29/23,FW,2,CEST,3,0,0,0,Danielle
2023,6,29,6/29/23,FW,2,LUHE,0,0,0,3,Danielle
2023,6,29,6/29/23,FW,6,CHFI,3,0,5,3,Danielle
2023,6,29,6/29/23,FW,6,ALDI,2,0,0,0,Danielle
2023,6,29,6/29/23,FW,6,ASDA,0,0,3,2,Danielle
2023,6,29,6/29/23,FW,6,CEBO,0,0,2,0,Danielle
2023,6,29,6/29/23,FW,6,GERU,0,0,3,0,Danielle
2023,6,29,6/29/23,FW,6,TAAD,3,14,10,15,Danielle
2023,6,29,6/29/23,FW,6,CEST,0,0,1,0,Danielle
2023,6,30,6/30/23,KB,3,ASDA,80,15,10,86,Danielle
2023,6,30,6/30/23,KB,3,CEBO,76,20,0,40,Danielle
2023,6,30,6/30/23,KB,3,GERU,30,20,0,24,Danielle
2023,6,30,6/30/23,KB,3,TAAD,20,15,5,15,Danielle
2023,6,30,6/30/23,KB,3,CEST,5,3,2,1,Danielle
2023,6,30,6/30/23,KB,2,ASDA,0,0,40,35,Danielle
2023,6,30,6/30/23,KB,2,CEBO,40,0,0,0,Danielle
2023,6,30,6/30/23,KB,2,GERU,0,10,4,4,Danielle
2023,6,30,6/30/23,KB,2,LUHE,0,4,0,0,Danielle
2023,6,30,6/30/23,KB,2,TAAD,13,10,18,17,Danielle
2023,6,30,6/30/23,KB,4,ASDA,0,4,7,30,Danielle
2023,6,30,6/30/23,KB,4,CEBO,0,0,0,41,Danielle
2023,6,30,6/30/23,KB,4,GERU,0,3,0,12,Danielle
2023,6,30,6/30/23,KB,4,TAAD,16,6,20,18,Danielle
2023,6,30,6/30/23,KB,4,ASRO,0,0,1,0,Danielle
