Year,Month,Day,Date,Site,Transect,SP_CODE,0-20 IN,20-40 IN,40-20 OFF,20-0 OFF,OBSERVER,NOTES,ENTERED BY,Checked By
2018,9,10,9/10/18,Ft Wetherill,1,ASFO,,4,,2,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Ft Wetherill,1,BUUN,3,12,4,5,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Ft Wetherill,1,ASDA,12,10,15,21,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Ft Wetherill,1,BUCA,2,2,,,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Ft Wetherill,1,NEDE,,2,1,,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Ft Wetherill,1,HESA,1,,1,,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Ft Wetherill,2,CABO,,1,,1,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Ft Wetherill,2,HOAM,1,,,,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Ft Wetherill,2,ASFO,,1,,1,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Ft Wetherill,2,BUUN,13,31,53,6,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Ft Wetherill,2,ASDA,20,25,21,35,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Ft Wetherill,2,BUCA,2,3,1,,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Ft Wetherill,2,CEBO,13,14,6,,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,10,9/10/18,Ft Wetherill,2,HESA,,3,,1,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Ft Wetherill,3,HOAM,3,2,,,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Ft Wetherill,3,ASFO,,1,,,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Ft Wetherill,3,ASDA,7,5,9,5,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Ft Wetherill,3,BUUN,2,2,1,,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Ft Wetherill,3,LUHE,2,,,,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,7,9/7/18,Ft Wetherill,3,HESA,1,,,,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,24,9/24/18,Ft Wetherill,4,ASDA,7,11,5,7,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,24,9/24/18,Ft Wetherill,4,HESA,1,6,5,,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,24,9/24/18,Ft Wetherill,4,BUUN,3,15,14,,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,24,9/24/18,Ft Wetherill,4,BUCA,3,7,1,,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,24,9/24/18,Ft Wetherill,4,ASFO,1,,1,,Paul Carvalho,,Lauren Josephs,Austin Humphries
2018,9,24,9/24/18,Ft Wetherill,4,LUHE,12,3,4,12,Paul Carvalho,,Lauren Josephs,Austin Humphries
