YEAR,MONTH,DAY,DATE,SITE,TRANSECT,SP_CODE,0-20 IN,20-40 IN,40-20 OFF,20-0 OFF
2021,8,26,8/26/21,Kings Beach,3,ASFO,,1,5,3
2021,8,26,8/26/21,Kings Beach,3,CLSP,,4,3,5
2021,8,26,8/26/21,Kings Beach,3,BUUN,2,4,1,14
2021,8,26,8/26/21,Kings Beach,3,ASDA,,2,,
2021,8,26,8/26/21,Kings Beach,3,CEBO,1,5,6,1
2021,8,26,8/26/21,Kings Beach,3,BOVI,1,,2,
2021,8,26,8/26/21,Kings Beach,4,BUUN,1,,7,2
2021,8,26,8/26/21,Kings Beach,4,CLSP,10,,2,2
2021,8,26,8/26/21,Kings Beach,4,ASDA,,,2,5
2021,8,26,8/26/21,Kings Beach,4,ALDI,1,1,,
2021,8,26,8/26/21,Kings Beach,2,ASDA,,5,2,
2021,8,26,8/26/21,Kings Beach,2,ALDI,3,7,1,2
2021,8,26,8/26/21,Kings Beach,2,CEBO,3,,2,
2021,8,26,8/26/21,Kings Beach,2,CLSP,,9,,3
2021,8,13,8/13/21,Fort Weatherill,1,ASDA,12,6,13,21
2021,8,13,8/13/21,Fort Weatherill,1,ALDI,2,1,11,10
2021,8,13,8/13/21,Fort Weatherill,1,CEBO,,1,,1
2021,8,13,8/13/21,Fort Weatherill,1,BUUN,2,11,,7
2021,8,12,8/12/21,Fort Weatherill,3,ASDA,27,11,15,19
2021,8,12,8/12/21,Fort Weatherill,3,HOAM,,1,2,
2021,8,12,8/12/21,Fort Weatherill,3,ALDI,2,,1,
2021,8,13,8/13/21,Fort Weatherill,4,ASFO,1,,1,1
2021,8,13,8/13/21,Fort Weatherill,4,ASDA,4,5,7,10
2021,8,13,8/13/21,Fort Weatherill,4,ALDI,1,2,3,
2021,8,13,8/13/21,Fort Weatherill,4,HOAM,,,1,
