Date,Temp
1/1/16,8.91
1/2/16,9.04
1/3/16,8.86
1/4/16,8.56
1/5/16,7.92
1/6/16,7.94
1/7/16,7.57
1/8/16,7.41
1/9/16,7.05
1/10/16,7.52
1/11/16,7.37
1/12/16,7.16
1/13/16,6.64
1/14/16,6.62
1/15/16,6.6
1/16/16,6.54
1/17/16,6.58
1/18/16,6.23
1/19/16,6.27
1/20/16,5.9
1/21/16,5.87
1/22/16,5.61
1/23/16,4.89
1/24/16,4.37
1/25/16,4.42
1/26/16,4.34
1/27/16,4.67
1/28/16,4.59
1/29/16,4.57
1/30/16,5.01
1/31/16,5.08
2/1/16,5.08
2/2/16,5.17
2/3/16,5.21
2/4/16,5.17
2/5/16,5.02
2/6/16,4.91
2/7/16,5.06
2/8/16,5.22
2/9/16,5.18
2/10/16,4.2
2/11/16,4.09
2/12/16,4.06
2/13/16,3.59
2/14/16,3.55
2/15/16,3.49
2/16/16,3.9
2/17/16,3.76
2/18/16,3.49
2/19/16,3.53
2/20/16,4.15
2/21/16,3.98
2/22/16,4.17
2/23/16,4.01
2/24/16,4.02
2/25/16,4.28
2/26/16,4.17
2/27/16,3.87
2/28/16,3.86
2/29/16,4.53
3/1/16,4.44
3/2/16,4.51
3/3/16,4.33
3/4/16,4.2
3/5/16,4.1
3/6/16,3.88
3/7/16,3.86
3/8/16,4.45
3/9/16,4.78
3/10/16,5.22
3/11/16,5.72
3/12/16,5.21
3/13/16,4.92
3/14/16,5.05
3/15/16,4.76
3/16/16,4.9
3/17/16,4.68
3/18/16,4.73
3/19/16,5.4
3/20/16,5.19
3/21/16,5.27
3/22/16,5.1
3/23/16,5.25
3/24/16,5.5
3/25/16,5.41
3/26/16,5.4
3/27/16,5.24
3/28/16,6.23
3/29/16,6.36
3/30/16,5.68
3/31/16,5.94
4/1/16,6.17
4/2/16,6.34
4/3/16,5.81
4/4/16,5.84
4/5/16,5.63
4/6/16,5.71
4/7/16,5.95
4/8/16,6.08
4/9/16,6.13
4/10/16,6.14
4/11/16,6.17
4/12/16,6.4
4/13/16,6.42
4/14/16,6.7
4/15/16,6.97
4/16/16,6.77
4/17/16,7.24
4/18/16,7.5
4/19/16,7.81
4/20/16,8
4/21/16,8.07
4/22/16,8.3
4/23/16,8.93
4/24/16,8.79
4/25/16,8.8
4/26/16,8.76
4/27/16,8.84
4/28/16,8.79
4/29/16,8.85
4/30/16,9.14
5/1/16,9.21
5/2/16,9.72
5/3/16,9.82
5/4/16,9.67
5/5/16,9.76
5/6/16,9.87
5/7/16,9.97
5/8/16,10.01
5/9/16,9.88
5/10/16,10.12
5/11/16,10.66
5/12/16,11
5/13/16,10.93
5/14/16,11.29
5/15/16,11.01
5/16/16,10.71
5/17/16,10.78
5/18/16,11.08
5/19/16,11.73
5/20/16,11.93
5/21/16,12.09
5/22/16,12.64
5/23/16,12.89
5/24/16,13.36
5/25/16,13.83
5/26/16,14.23
5/27/16,14.72
5/28/16,14.96
5/29/16,15.09
5/30/16,15.26
5/31/16,15.6
6/1/16,15.7
6/2/16,15.72
6/3/16,15.87
6/4/16,15.94
6/5/16,16.09
6/6/16,16.01
6/7/16,16.2
6/8/16,15.95
6/9/16,15.56
6/10/16,15.7
6/11/16,15.8
6/12/16,15.92
6/13/16,15.54
6/14/16,15.94
6/15/16,16.04
6/16/16,16.94
6/17/16,17.1
6/18/16,17.34
6/19/16,17.63
6/20/16,17.95
6/21/16,18.08
6/22/16,18.55
6/23/16,18.99
6/24/16,19.39
6/25/16,19.56
6/26/16,19.52
6/27/16,19.61
6/28/16,19.57
6/29/16,20.16
6/30/16,20.24
7/1/16,20.39
7/2/16,19.98
7/3/16,19.8
7/4/16,19.72
7/5/16,20.85
7/6/16,21
7/7/16,20.99
7/8/16,20.66
7/9/16,20.11
7/10/16,19.83
7/11/16,19.88
7/12/16,19.77
7/13/16,20.51
7/14/16,20.57
7/15/16,21.63
7/16/16,21.87
7/17/16,22.39
7/18/16,22.34
7/19/16,21.95
7/20/16,21.96
7/21/16,21.83
7/22/16,22.05
7/23/16,22
7/24/16,21.95
7/25/16,21.96
7/26/16,22.45
7/27/16,22.76
7/28/16,22.58
7/29/16,22.41
7/30/16,22.37
7/31/16,22.3
8/1/16,21.9
8/2/16,21.72
8/3/16,21.76
8/4/16,21.85
8/5/16,22
8/6/16,22.08
8/7/16,22.26
8/8/16,22.22
8/9/16,22.2
8/10/16,22.19
8/11/16,22.26
8/12/16,22.75
8/13/16,23.39
8/14/16,23.71
8/15/16,23.72
8/16/16,23.58
8/17/16,23.01
8/18/16,22.92
8/19/16,22.85
8/20/16,22.68
8/21/16,22.55
8/22/16,22.33
8/23/16,22.19
8/24/16,22.17
8/25/16,22.12
8/26/16,22.53
8/27/16,22.76
8/28/16,22.79
8/29/16,22.88
8/30/16,22.47
8/31/16,22.26
9/1/16,21.96
9/2/16,21.82
9/3/16,21.43
9/4/16,21.08
9/5/16,20.81
9/6/16,20.24
9/7/16,20.11
9/8/16,20.11
9/9/16,21.37
9/10/16,21.24
9/11/16,20.89
9/12/16,20.76
9/13/16,20.98
9/14/16,20.86
9/15/16,20.34
9/16/16,20.07
9/17/16,20.07
9/18/16,20.06
9/19/16,20.22
9/20/16,20.31
9/21/16,20.37
9/22/16,20.93
9/23/16,20.82
9/24/16,20.08
9/25/16,19.81
9/26/16,19.54
9/27/16,19.27
9/28/16,18.99
9/29/16,18.52
9/30/16,18.23
10/1/16,18.09
10/2/16,18.1
10/3/16,17.81
10/4/16,17.62
10/5/16,17.61
10/6/16,17.84
10/7/16,17.85
10/8/16,17.68
10/9/16,17.66
10/10/16,17.23
10/11/16,17.09
10/12/16,16.98
10/13/16,16.94
10/14/16,16.71
10/15/16,16.46
10/16/16,16.4
10/17/16,16.96
10/18/16,17.39
10/19/16,17.34
10/20/16,17.19
10/21/16,17.17
10/22/16,17.1
10/23/16,16.81
10/24/16,16.56
10/25/16,16.17
10/26/16,15.77
10/27/16,15.57
10/28/16,15.48
10/29/16,15.46
10/30/16,15.51
10/31/16,15.07
11/1/16,14.8
11/2/16,14.67
11/3/16,14.64
11/4/16,14.72
11/5/16,14.42
11/6/16,13.99
11/7/16,13.93
11/8/16,14.37
11/9/16,14.27
11/10/16,14.36
11/11/16,14.3
11/12/16,14.18
11/13/16,14.15
11/14/16,13.88
11/15/16,13.65
11/16/16,13.66
11/17/16,13.37
11/18/16,13.21
11/19/16,13.02
11/20/16,12.68
11/21/16,12.4
11/22/16,12.65
11/23/16,12.44
11/24/16,12.25
11/25/16,12.1
11/26/16,11.98
11/27/16,11.71
11/28/16,11.56
11/29/16,11.34
11/30/16,11.36
12/1/16,11.17
12/2/16,11.07
12/3/16,11.03
12/4/16,10.67
12/5/16,10.59
12/6/16,10.36
12/7/16,10.17
12/8/16,9.97
12/9/16,10.15
12/10/16,10.09
12/11/16,10.05
12/12/16,9.68
12/13/16,9.44
12/14/16,9.23
12/15/16,9.16
12/16/16,8.94
12/17/16,8.86
12/18/16,8.83
12/19/16,8.46
12/20/16,8.14
12/21/16,8.08
12/22/16,8.03
12/23/16,7.94
12/24/16,7.77
12/25/16,7.78
12/26/16,7.67
12/27/16,7.65
12/28/16,7.49
12/29/16,7.57
12/30/16,7.49
12/31/16,7.2
1/1/17,7.1
1/2/17,7.13
1/3/17,6.81
1/4/17,6.57
1/5/17,6.36
