Date,Temp
1/1/16,9.26
1/2/16,9.33
1/3/16,9.17
1/4/16,8.84
1/5/16,8.27
1/6/16,8.32
1/7/16,7.97
1/8/16,7.87
1/9/16,7.5
1/10/16,7.99
1/11/16,7.8
1/12/16,7.54
1/13/16,6.98
1/14/16,6.95
1/15/16,6.97
1/16/16,6.89
1/17/16,6.94
1/18/16,6.62
1/19/16,6.7
1/20/16,6.36
1/21/16,6.37
1/22/16,6.13
1/23/16,5.43
1/24/16,4.93
1/25/16,4.93
1/26/16,4.81
1/27/16,5.16
1/28/16,5.03
1/29/16,4.98
1/30/16,5.43
1/31/16,5.49
2/1/16,5.46
2/2/16,5.55
2/3/16,5.56
2/4/16,5.5
2/5/16,5.4
2/6/16,5.28
2/7/16,5.42
2/8/16,5.54
2/9/16,5.47
2/10/16,4.44
2/11/16,4.32
2/12/16,4.31
2/13/16,3.82
2/14/16,3.8
2/15/16,3.72
2/16/16,4.1
2/17/16,3.99
2/18/16,3.75
2/19/16,3.77
2/20/16,4.37
2/21/16,4.17
2/22/16,4.36
2/23/16,4.19
2/24/16,4.19
2/25/16,4.45
2/26/16,4.34
2/27/16,4.04
2/28/16,3.97
2/29/16,4.65
3/1/16,4.57
3/2/16,4.67
3/3/16,4.49
3/4/16,4.34
3/5/16,4.27
3/6/16,4.06
3/7/16,4.04
3/8/16,4.65
3/9/16,4.98
3/10/16,5.4
3/11/16,5.81
3/12/16,5.31
3/13/16,5.02
3/14/16,5.14
3/15/16,4.84
3/16/16,4.99
3/17/16,4.73
3/18/16,4.77
3/19/16,5.44
3/20/16,5.19
3/21/16,5.25
3/22/16,5.1
3/23/16,5.23
3/24/16,5.5
3/25/16,5.39
3/26/16,5.38
3/27/16,5.21
3/28/16,6.16
3/29/16,6.26
3/30/16,5.6
3/31/16,5.85
4/1/16,6.08
4/2/16,6.27
4/3/16,5.71
4/4/16,5.74
4/5/16,5.55
4/6/16,5.65
4/7/16,5.91
4/8/16,5.96
4/9/16,6.01
4/10/16,6.02
4/11/16,6.07
