"YEAR","HABITAT","REGION","SITE","CONTROL","TRANSECT","TOTAL","SP_CODE","value"
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"AGH",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"BORS",0.027027027
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"CHW",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"CF",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"EMS",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"LON",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"PORS",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"QUA",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"RBS",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"LETT",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"SHE",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"CRSP",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"FIN",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"FUSP",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"GRAC",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"BAR",0.013513514
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"SPAG",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"LIM",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"BUG",0.337837838
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"CHCR",0.364864865
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"CRIS",0.054054054
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"DASY",0.013513514
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"DIAD",0.054054054
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"Dulce",0.013513514
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"ECSP",0.013513514
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"IRM",0.121621622
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"OBSP",0.337837838
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"STAC",0.108108108
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"SUGK",0.459459459
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"UHYD",0.378378378
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"URA",0.162162162
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"CORA",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"WHEL",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"MAST",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"OAR",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"OST",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"EPI",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"BCS",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"SUGK",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"TUB",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"CHI",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"COF",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"GOT",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"SEA",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"SERP",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"XMAS",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"CHAM",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"PURPCL",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"SEALA",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"CORS",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"NSF",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"POLY",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"WANE",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"FOR",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"PYSP",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"GRIN",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"SHRB",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"TUB",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"DEV",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"BLC",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"EEL",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"BUGN",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"SG",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"STAT",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"SAR",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"EOYS",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"MAN",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"RAT",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"BAYS",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"BMUS",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"CHON",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"PLUM",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"FLUK",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"UNTUN",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"DASEL",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"HOR",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"OYS",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"DWHEL",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"BRAM",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"MANBUR",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"SPER",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"AHN",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"STIW",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"SEAV",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"SWD",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"OSC",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"SEAP",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,1,2.459459459,"CLT",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"AGH",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"BORS",0.025
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"CHW",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"CF",0.175
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"EMS",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"LON",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"PORS",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"QUA",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"RBS",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"LETT",0.0125
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"SHE",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"CRSP",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"FIN",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"FUSP",0.025
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"GRAC",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"BAR",0.0375
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"SPAG",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"LIM",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"BUG",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"CHCR",0.6625
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"CRIS",0.075
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"DASY",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"DIAD",0.0125
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"Dulce",0.0125
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"ECSP",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"IRM",0.0125
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"OBSP",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"STAC",0.0875
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"SUGK",0.225
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"UHYD",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"URA",0.2875
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"CORA",0.0125
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"WHEL",0.0125
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"MAST",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"OAR",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"OST",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"EPI",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"BCS",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"SUGK",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"TUB",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"CHI",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"COF",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"GOT",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"SEA",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"SERP",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"XMAS",0
2019,"Kelp","Narragansett Bay","Fort Wetherill",0,2,1.675,"CHAM",0
