"","YEAR","HABITAT","REGION","SITE","TRANSECT","TOTAL","SP_CODE","COVER","AREA","n","Fish.Biomass..g.80m2.","Fish.Biomass..g.m2.","total_kelp_biomass","average_kelp_biomass"
"1",2019,"Kelp","Narragansett Bay","Fort Wetherill","1",2.459459459,"SUGK",0.459459459,80,27,1260.811381,15.76014226,847.358718733096,141.226453122183
"2",2019,"Kelp","Narragansett Bay","Fort Wetherill","1",2.459459459,"SUGK",0,80,27,1260.811381,15.76014226,847.358718733096,141.226453122183
"3",2019,"Kelp","Narragansett Bay","Fort Wetherill","2",1.675,"SUGK",0.225,80,36,3309.240586,41.36550732,208.870260570966,34.811710095161
"4",2019,"Kelp","Narragansett Bay","Fort Wetherill","2",1.675,"SUGK",0,80,36,3309.240586,41.36550732,208.870260570966,34.811710095161
"5",2019,"Kelp","Narragansett Bay","Fort Wetherill","3",1.2,"SUGK",0.1625,80,36,1034.841249,12.93551562,193.348725597211,32.2247875995352
"6",2019,"Kelp","Narragansett Bay","Fort Wetherill","3",1.2,"SUGK",0,80,36,1034.841249,12.93551562,193.348725597211,32.2247875995352
"7",2019,"Kelp","Narragansett Bay","Fort Wetherill","4",1.425,"SUGK",0.1,80,27,3267.818435,40.84773043,244.344483389156,40.7240805648593
"8",2019,"Kelp","Narragansett Bay","Fort Wetherill","4",1.425,"SUGK",0,80,27,3267.818435,40.84773043,244.344483389156,40.7240805648593
"9",2019,"Kelp","Narragansett Bay","King's Beach","1",1.4875,"SUGK",0.025,80,36,18515.0546,231.4381825,0,0
"10",2019,"Kelp","Narragansett Bay","King's Beach","1",1.4875,"SUGK",0,80,36,18515.0546,231.4381825,0,0
"11",2019,"Kelp","Narragansett Bay","King's Beach","2",1.6375,"SUGK",0.0875,80,27,7800.839579,97.51049474,164.078695406005,27.3464492343341
"12",2019,"Kelp","Narragansett Bay","King's Beach","2",1.6375,"SUGK",0,80,27,7800.839579,97.51049474,164.078695406005,27.3464492343341
"13",2019,"Kelp","Narragansett Bay","King's Beach","3",1.575,"SUGK",0.225,80,27,17866.6386,223.3329825,251.313150002859,41.8855250004765
"14",2019,"Kelp","Narragansett Bay","King's Beach","3",1.575,"SUGK",0,80,27,17866.6386,223.3329825,251.313150002859,41.8855250004765
"15",2019,"Kelp","Narragansett Bay","King's Beach","4",1.575,"SUGK",0.175,80,27,3103.34874,38.79185925,108.13835477254,18.0230591287566
"16",2019,"Kelp","Narragansett Bay","King's Beach","4",1.575,"SUGK",0.0125,80,27,3103.34874,38.79185925,108.13835477254,18.0230591287566
"17",2020,"Kelp","Narragansett Bay","Fort Wetherill","1",2.2625,"SUGK",0.2,80,36,8080.635295,101.0079412,321.855946815685,53.6426578026142
"18",2020,"Kelp","Narragansett Bay","Fort Wetherill","1",2.2625,"SUGK",0,80,36,8080.635295,101.0079412,321.855946815685,53.6426578026142
"19",2020,"Kelp","Narragansett Bay","Fort Wetherill","2",2.2,"SUGK",0.275,80,18,9122.450259,114.0306282,195.790676134205,32.6317793557008
"20",2020,"Kelp","Narragansett Bay","Fort Wetherill","2",2.2,"SUGK",0,80,18,9122.450259,114.0306282,195.790676134205,32.6317793557008
"21",2020,"Kelp","Narragansett Bay","Fort Wetherill","3",1.25,"SUGK",0.4125,80,27,783.9187506,9.798984383,297.609176057034,49.601529342839
"22",2020,"Kelp","Narragansett Bay","Fort Wetherill","3",1.25,"SUGK",0,80,27,783.9187506,9.798984383,297.609176057034,49.601529342839
"23",2020,"Kelp","Narragansett Bay","Fort Wetherill","4",1.4625,"SUGK",0.3,80,36,6898.952679,86.23690849,725.868130430719,120.978021738453
"24",2020,"Kelp","Narragansett Bay","Fort Wetherill","4",1.4625,"SUGK",0,80,36,6898.952679,86.23690849,725.868130430719,120.978021738453
"25",2020,"Kelp","Narragansett Bay","King's Beach","2",1.625,"SUGK",0.275,80,36,18311.30693,228.8913366,335.242194251956,55.8736990419926
"26",2020,"Kelp","Narragansett Bay","King's Beach","2",1.625,"SUGK",0,80,36,18311.30693,228.8913366,335.242194251956,55.8736990419926
"27",2020,"Kelp","Narragansett Bay","King's Beach","3",2.3,"SUGK",0.2375,80,27,16067.58895,200.8448618,411.764326679778,68.627387779963
"28",2020,"Kelp","Narragansett Bay","King's Beach","3",2.3,"SUGK",0,80,27,16067.58895,200.8448618,411.764326679778,68.627387779963
"29",2020,"Kelp","Narragansett Bay","King's Beach","4",1.107142857,"SUGK",0.142857143,80,27,6882.457014,86.03071268,159.912876992862,26.6521461654769
"30",2020,"Kelp","Narragansett Bay","King's Beach","4",1.107142857,"SUGK",0,80,27,6882.457014,86.03071268,159.912876992862,26.6521461654769
"31",2021,"Kelp","Narragansett Bay","Fort Wetherill","1",1.448717949,"SUGK",0.102564103,80,18,1363.937627,17.04922034,91.7637978089993,15.2939663014999
"32",2021,"Kelp","Narragansett Bay","Fort Wetherill","1",1.448717949,"SUGK",0,80,18,1363.937627,17.04922034,91.7637978089993,15.2939663014999
"33",2021,"Kelp","Narragansett Bay","Fort Wetherill","2",1.294871795,"SUGK",0.08974359,80,45,2344.017164,29.30021454,53.6969187986085,8.94948646643475
"34",2021,"Kelp","Narragansett Bay","Fort Wetherill","2",1.294871795,"SUGK",0,80,45,2344.017164,29.30021454,53.6969187986085,8.94948646643475
"35",2021,"Kelp","Narragansett Bay","Fort Wetherill","3",1.076923077,"SUGK",0.371794872,80,27,1056.847647,13.21059559,126.585202206236,21.0975337010393
"36",2021,"Kelp","Narragansett Bay","Fort Wetherill","3",1.076923077,"SUGK",0,80,27,1056.847647,13.21059559,126.585202206236,21.0975337010393
"37",2021,"Kelp","Narragansett Bay","Fort Wetherill","4",1.051282051,"SUGK",0.012820513,80,45,2982.923452,37.28654315,109.499201312245,18.2498668853742
"38",2021,"Kelp","Narragansett Bay","Fort Wetherill","4",1.051282051,"SUGK",0,80,45,2982.923452,37.28654315,109.499201312245,18.2498668853742
"39",2021,"Kelp","Narragansett Bay","Fort Wetherill","5",1.554054054,"SUGK",0.310810811,80,27,1670.039079,20.87548848,0,0
"40",2021,"Kelp","Narragansett Bay","Fort Wetherill","5",1.554054054,"SUGK",0,80,27,1670.039079,20.87548848,0,0
"41",2021,"Kelp","Narragansett Bay","King's Beach","2",1.6625,"SUGK",0.2125,80,36,17469.59414,218.3699268,72.8700986211108,12.1450164368518
"42",2021,"Kelp","Narragansett Bay","King's Beach","2",1.6625,"SUGK",0,80,36,17469.59414,218.3699268,72.8700986211108,12.1450164368518
"43",2021,"Kelp","Narragansett Bay","King's Beach","3",1.45,"SUGK",0.25,80,36,3926.86541,49.08581763,41.4522657347379,6.90871095578965
"44",2021,"Kelp","Narragansett Bay","King's Beach","3",1.45,"SUGK",0,80,36,3926.86541,49.08581763,41.4522657347379,6.90871095578965
"45",2021,"Kelp","Narragansett Bay","King's Beach","4",1.725,"SUGK",0.0875,80,27,3368.556643,42.10695803,49.1933315117371,8.19888858528952
"46",2021,"Kelp","Narragansett Bay","King's Beach","4",1.725,"SUGK",0,80,27,3368.556643,42.10695803,49.1933315117371,8.19888858528952
"47",2022,"Kelp","Narragansett Bay","Fort Wetherill","1",1.725,"SUGK",0.275,80,27,1026.76382,12.83454775,54.2284932402671,9.03808220671119
"48",2022,"Kelp","Narragansett Bay","Fort Wetherill","1",1.725,"SUGK",0,80,27,1026.76382,12.83454775,54.2284932402671,9.03808220671119
"49",2022,"Kelp","Narragansett Bay","Fort Wetherill","2",1.5875,"SUGK",0.1875,80,27,1148.25096,14.353137,57.633092260217,9.60551537670283
"50",2022,"Kelp","Narragansett Bay","Fort Wetherill","2",1.5875,"SUGK",0.0125,80,27,1148.25096,14.353137,57.633092260217,9.60551537670283
"51",2022,"Kelp","Narragansett Bay","Fort Wetherill","3",1.5,"SUGK",0.1125,80,18,710.3169252,8.878961565,94.5948401416185,15.7658066902698
"52",2022,"Kelp","Narragansett Bay","Fort Wetherill","3",1.5,"SUGK",0,80,18,710.3169252,8.878961565,94.5948401416185,15.7658066902698
"53",2022,"Kelp","Narragansett Bay","Fort Wetherill","4",2.016666667,"SUGK",0.616666667,80,45,23342.25485,291.7781856,98.7534348349838,16.4589058058306
"54",2022,"Kelp","Narragansett Bay","Fort Wetherill","4",2.016666667,"SUGK",0,80,45,23342.25485,291.7781856,98.7534348349838,16.4589058058306
"55",2022,"Kelp","Narragansett Bay","King's Beach","2",1.4625,"SUGK",0.45,80,36,2558.207916,31.97759895,53.1748959078487,8.86248265130812
"56",2022,"Kelp","Narragansett Bay","King's Beach","2",1.4625,"SUGK",0,80,36,2558.207916,31.97759895,53.1748959078487,8.86248265130812
"57",2022,"Kelp","Narragansett Bay","King's Beach","3",1.4375,"SUGK",0.35,80,36,6452.606192,80.65757741,53.3541835588101,8.89236392646835
"58",2022,"Kelp","Narragansett Bay","King's Beach","3",1.4375,"SUGK",0.0125,80,36,6452.606192,80.65757741,53.3541835588101,8.89236392646835
"59",2022,"Kelp","Narragansett Bay","King's Beach","4",1.7125,"SUGK",0.175,80,27,772.3456943,9.654321178,44.5433243757271,7.42388739595452
"60",2022,"Kelp","Narragansett Bay","King's Beach","4",1.7125,"SUGK",0,80,27,772.3456943,9.654321178,44.5433243757271,7.42388739595452
"61",2023,"Kelp","Narragansett Bay","Fort Wetherill","2",1.4125,"SUGK",0.2625,80,18,1294.939028,16.18673785,11.4501098886478,1.90835164810796
"62",2023,"Kelp","Narragansett Bay","Fort Wetherill","2",1.4125,"SUGK",0,80,18,1294.939028,16.18673785,11.4501098886478,1.90835164810796
"63",2023,"Kelp","Narragansett Bay","Fort Wetherill","3",1.4375,"SUGK",0.15,80,18,3181.782122,39.77227652,4.97736285296154,0.829560475493589
"64",2023,"Kelp","Narragansett Bay","Fort Wetherill","3",1.4375,"SUGK",0.0125,80,18,3181.782122,39.77227652,4.97736285296154,0.829560475493589
"65",2023,"Kelp","Narragansett Bay","Fort Wetherill","4",1.6,"SUGK",0.475,80,18,1086.093828,13.57617285,13.6341194243066,2.27235323738444
"66",2023,"Kelp","Narragansett Bay","Fort Wetherill","4",1.6,"SUGK",0,80,18,1086.093828,13.57617285,13.6341194243066,2.27235323738444
"67",2023,"Kelp","Narragansett Bay","King's Beach","2",1.75,"SUGK",0.025,80,18,298.7920455,3.734900569,4.73220555835027,0.788700926391711
"68",2023,"Kelp","Narragansett Bay","King's Beach","2",1.75,"SUGK",0,80,18,298.7920455,3.734900569,4.73220555835027,0.788700926391711
"69",2023,"Kelp","Narragansett Bay","King's Beach","3",1.2875,"SUGK",0.15,80,27,3285.372994,41.06716242,6.36246014343107,1.06041002390518
"70",2023,"Kelp","Narragansett Bay","King's Beach","3",1.2875,"SUGK",0.05,80,27,3285.372994,41.06716242,6.36246014343107,1.06041002390518
"71",2023,"Kelp","Narragansett Bay","King's Beach","4",1.625,"SUGK",0.0125,80,18,1604.293399,20.05366749,0.940212352666943,0.156702058777824
"72",2023,"Kelp","Narragansett Bay","King's Beach","4",1.625,"SUGK",0.0125,80,18,1604.293399,20.05366749,0.940212352666943,0.156702058777824
"73",2019,"Kelp","Narragansett Bay","Fort Wetherill","5",1.2875,"SUGK",0.0375,80,36,1869.32902,23.36661274,0,0
"74",2019,"Kelp","Narragansett Bay","Fort Wetherill","5",1.2875,"SUGK",0.0125,80,36,1869.32902,23.36661274,0,0
"75",2019,"Kelp","Narragansett Bay","Fort Wetherill","6",0.8875,"SUGK",0,80,36,1550.106744,19.37633431,0,0
"76",2019,"Kelp","Narragansett Bay","Fort Wetherill","6",0.8875,"SUGK",0,80,36,1550.106744,19.37633431,0,0
"77",2020,"Kelp","Narragansett Bay","Fort Wetherill","5",1,"SUGK",0.125,80,18,163.7595315,2.046994144,0,0
"78",2020,"Kelp","Narragansett Bay","Fort Wetherill","5",1,"SUGK",0,80,18,163.7595315,2.046994144,0,0
"79",2020,"Kelp","Narragansett Bay","Fort Wetherill","6",1.45,"SUGK",0.0875,80,18,1891.978102,23.64972628,0,0
"80",2020,"Kelp","Narragansett Bay","Fort Wetherill","6",1.45,"SUGK",0,80,18,1891.978102,23.64972628,0,0
"81",2020,"Kelp","Narragansett Bay","King's Beach","1",2.178571429,"SUGK",0.047619048,80,18,780.4876859,9.756096074,0,0
"82",2020,"Kelp","Narragansett Bay","King's Beach","1",2.178571429,"SUGK",0,80,18,780.4876859,9.756096074,0,0
"83",2020,"Kelp","Narragansett Bay","King's Beach","5",1.1875,"SUGK",0,80,18,474.8053784,5.93506723,NA,NA
"84",2020,"Kelp","Narragansett Bay","King's Beach","5",1.1875,"SUGK",0,80,18,474.8053784,5.93506723,NA,NA
"85",2021,"Kelp","Narragansett Bay","Fort Wetherill","6",1.45,"SUGK",0.05,80,9,28.93951309,0.361743914,0,0
"86",2021,"Kelp","Narragansett Bay","Fort Wetherill","6",1.45,"SUGK",0,80,9,28.93951309,0.361743914,0,0
"87",2021,"Kelp","Narragansett Bay","King's Beach","1",2.025,"SUGK",0,80,27,725.1971324,9.064964155,0,0
"88",2021,"Kelp","Narragansett Bay","King's Beach","1",2.025,"SUGK",0,80,27,725.1971324,9.064964155,0,0
"89",2021,"Kelp","Narragansett Bay","King's Beach","5",1.6125,"SUGK",0,80,27,1029.083528,12.8635441,NA,NA
"90",2021,"Kelp","Narragansett Bay","King's Beach","5",1.6125,"SUGK",0,80,27,1029.083528,12.8635441,NA,NA
"91",2022,"Kelp","Narragansett Bay","Fort Wetherill","5",1.1875,"SUGK",0.0375,80,18,358.7351577,4.484189472,0,0
"92",2022,"Kelp","Narragansett Bay","Fort Wetherill","5",1.1875,"SUGK",0,80,18,358.7351577,4.484189472,0,0
"93",2022,"Kelp","Narragansett Bay","Fort Wetherill","6",1.5625,"SUGK",0.0375,80,9,187.655731,2.345696638,0,0
"94",2022,"Kelp","Narragansett Bay","Fort Wetherill","6",1.5625,"SUGK",0,80,9,187.655731,2.345696638,0,0
"95",2022,"Kelp","Narragansett Bay","King's Beach","1",1.6125,"SUGK",0,80,18,791.6701893,9.895877366,0,0
"96",2022,"Kelp","Narragansett Bay","King's Beach","1",1.6125,"SUGK",0,80,18,791.6701893,9.895877366,0,0
"97",2022,"Kelp","Narragansett Bay","King's Beach","5",1.375,"SUGK",0.0125,80,36,268.777433,3.359717912,0,0
"98",2022,"Kelp","Narragansett Bay","King's Beach","5",1.375,"SUGK",0,80,36,268.777433,3.359717912,0,0
"99",2023,"Kelp","Narragansett Bay","Fort Wetherill","5",1.4875,"SUGK",0.2375,80,27,1671.23589,20.89044862,10.2342174324778,1.70570290541297
"100",2023,"Kelp","Narragansett Bay","Fort Wetherill","5",1.4875,"SUGK",0,80,27,1671.23589,20.89044862,10.2342174324778,1.70570290541297
"101",2023,"Kelp","Narragansett Bay","Fort Wetherill","6",0.925,"SUGK",0,80,18,287.3596721,3.591995901,0,0
"102",2023,"Kelp","Narragansett Bay","Fort Wetherill","6",0.925,"SUGK",0,80,18,287.3596721,3.591995901,0,0
"103",2023,"Kelp","Narragansett Bay","King's Beach","1",1.8125,"SUGK",0,80,36,1355.300292,16.94125366,0,0
"104",2023,"Kelp","Narragansett Bay","King's Beach","1",1.8125,"SUGK",0.0125,80,36,1355.300292,16.94125366,0,0
"105",2023,"Kelp","Narragansett Bay","King's Beach","5",0.9625,"SUGK",0,80,27,391.2826378,4.891032973,0,0
"106",2023,"Kelp","Narragansett Bay","King's Beach","5",0.9625,"SUGK",0,80,27,391.2826378,4.891032973,0,0
