Site,Transect,Start.Latitude,Start.Longitude,End.Latitude,End.Longitude,Start.Depth..ft.,End.Depth..ft.,Mean.Depth..ft.
Fort Wetherill,1,41.4773,-71.36640278,41.47737222,-71.36640278,25,24,24.5
Fort Wetherill,2,41.477025,-71.36355,41.47675,-71.36396667,24,26,25
Fort Wetherill,3,41.47818611,-71.36166944,41.47782778,-71.3616,24,24,24
Fort Wetherill,4,41.47749722,-71.35941667,41.47716111,-71.35944167,29,33,31
Fort Wetherill,5,41.47833333,-71.36027778,41.47805556,-71.36055556,24,25,24.5
Fort Wetherill,6,41.47944444,-71.35611111,41.47944444,-71.35555556,16,20,18
King's Beach,1,41.45247,-71.32591,41.45277778,-71.32555556,24,27,25.5
King's Beach,2,41.44912,-71.33695,41.46611111,-71.32027778,27,30,28.5
King's Beach,3,41.4493,-71.33535,41.46583333,-71.31888889,29,27,28
King's Beach,4,41.4511,-71.34161,41.45083333,-71.325,26,24,25
King's Beach,5,41.452155,-71.312683,41.451626,-71.312734,24,14,19
