"YEAR","MONTH","DAY","DATE","SITE","TRANSECT","SP_CODE","0-20 IN","20-40 IN","40-20 OFF","20-0 OFF","HABITAT","CONTROL","REGION"
2018,9,10,"9/10/18","Fort Wetherill","1","ASFO",NA,"4",NA,"2",NA,NA,NA
2018,9,10,"9/10/18","Fort Wetherill","1","BUUN","3","12","4","5",NA,NA,NA
2018,9,10,"9/10/18","Fort Wetherill","1","ASDA","12","10","15","21",NA,NA,NA
2018,9,10,"9/10/18","Fort Wetherill","1","BUCA","2","2",NA,NA,NA,NA,NA
2018,9,10,"9/10/18","Fort Wetherill","1","NEDE",NA,"2","1",NA,NA,NA,NA
2018,9,10,"9/10/18","Fort Wetherill","1","HESA","1",NA,"1",NA,NA,NA,NA
2018,9,10,"9/10/18","Fort Wetherill","2","CABO",NA,"1",NA,"1",NA,NA,NA
2018,9,10,"9/10/18","Fort Wetherill","2","HOAM","1",NA,NA,NA,NA,NA,NA
2018,9,10,"9/10/18","Fort Wetherill","2","ASFO",NA,"1",NA,"1",NA,NA,NA
2018,9,10,"9/10/18","Fort Wetherill","2","BUUN","13","31","53","6",NA,NA,NA
2018,9,10,"9/10/18","Fort Wetherill","2","ASDA","20","25","21","35",NA,NA,NA
2018,9,10,"9/10/18","Fort Wetherill","2","BUCA","2","3","1",NA,NA,NA,NA
2018,9,10,"9/10/18","Fort Wetherill","2","CEBO","13","14","6",NA,NA,NA,NA
2018,9,10,"9/10/18","Fort Wetherill","2","HESA",NA,"3",NA,"1",NA,NA,NA
2018,9,7,"9/7/18","Fort Wetherill","3","HOAM","3","2",NA,NA,NA,NA,NA
2018,9,7,"9/7/18","Fort Wetherill","3","ASFO",NA,"1",NA,NA,NA,NA,NA
2018,9,7,"9/7/18","Fort Wetherill","3","ASDA","7","5","9","5",NA,NA,NA
2018,9,7,"9/7/18","Fort Wetherill","3","BUUN","2","2","1",NA,NA,NA,NA
2018,9,7,"9/7/18","Fort Wetherill","3","LUHE","2",NA,NA,NA,NA,NA,NA
2018,9,7,"9/7/18","Fort Wetherill","3","HESA","1",NA,NA,NA,NA,NA,NA
2018,9,24,"9/24/18","Fort Wetherill","4","ASDA","7","11","5","7",NA,NA,NA
2018,9,24,"9/24/18","Fort Wetherill","4","HESA","1","6","5",NA,NA,NA,NA
2018,9,24,"9/24/18","Fort Wetherill","4","BUUN","3","15","14",NA,NA,NA,NA
2018,9,24,"9/24/18","Fort Wetherill","4","BUCA","3","7","1",NA,NA,NA,NA
2018,9,24,"9/24/18","Fort Wetherill","4","ASFO","1",NA,"1",NA,NA,NA,NA
2018,9,24,"9/24/18","Fort Wetherill","4","LUHE","12","3","4","12",NA,NA,NA
2019,9,6,"9/6/19","Fort Wetherill","3","ASDA","4","1","5",NA,NA,NA,NA
2019,9,6,"9/6/19","Fort Wetherill","3","LUHE","2",NA,NA,NA,NA,NA,NA
2019,9,6,"9/6/19","Fort Wetherill","3","ALDI",NA,"1",NA,NA,NA,NA,NA
2019,9,6,"9/6/19","Fort Wetherill","5","ASDA","5","2","5","7",NA,NA,NA
2019,9,6,"9/6/19","Fort Wetherill","5","LUHE",NA,"2","3","3",NA,NA,NA
2019,9,6,"9/6/19","Fort Wetherill","5","GERU",NA,NA,"5",NA,NA,NA,NA
2019,9,6,"9/6/19","Fort Wetherill","5","SDS",NA,NA,NA,"1",NA,NA,NA
2019,9,16,"9/16/19","Fort Wetherill","1","ASDA","19","55","14","29",NA,NA,NA
2019,9,16,"9/16/19","Fort Wetherill","1","HOAM",NA,NA,"1",NA,NA,NA,NA
2019,9,16,"9/16/19","Fort Wetherill","1","CAIR",NA,NA,NA,"2",NA,NA,NA
2019,9,16,"9/16/19","Fort Wetherill","1","BUUN",NA,"12","12","29",NA,NA,NA
2019,9,16,"9/16/19","Fort Wetherill","1","SDS",NA,NA,"5",NA,NA,NA,NA
2019,9,16,"9/16/19","Fort Wetherill","1","ASRU","1",NA,NA,NA,NA,NA,NA
2019,9,11,"9/11/19","Fort Wetherill","2","HOAM",NA,NA,NA,"1",NA,NA,NA
2019,9,11,"9/11/19","Fort Wetherill","2","ASDA","4","20","9",NA,NA,NA,NA
2019,9,11,"9/11/19","Fort Wetherill","2","MYSP",NA,"1",NA,NA,NA,NA,NA
2019,9,11,"9/11/19","Fort Wetherill","2","BUUN",NA,"59","22",NA,NA,NA,NA
2019,9,11,"9/11/19","Fort Wetherill","6","BUUN","4","2",NA,"2",NA,NA,NA
2019,9,11,"9/11/19","Fort Wetherill","6","ASDA","61","118","155","37",NA,NA,NA
2019,9,11,"9/11/19","Fort Wetherill","6","CAIR",NA,NA,NA,"1",NA,NA,NA
2019,9,16,"9/16/19","Fort Wetherill","4","ASRU","1",NA,NA,NA,NA,NA,NA
2019,9,16,"9/16/19","Fort Wetherill","4","ASDA","22","13","14","21",NA,NA,NA
2019,9,16,"9/16/19","Fort Wetherill","4","BUUN","22","1","1","26",NA,NA,NA
2019,9,16,"9/16/19","Fort Wetherill","4","LUHE",NA,"1",NA,NA,NA,NA,NA
2019,9,16,"9/16/19","Fort Wetherill","4","CEBO",NA,NA,NA,"40",NA,NA,NA
2019,9,30,"9/30/19","King's Beach","3","ASFO","3",NA,"2","1",NA,NA,NA
2019,9,30,"9/30/19","King's Beach","3","CLSP","7","1","7","9",NA,NA,NA
2019,9,30,"9/30/19","King's Beach","3","BUUN","9","7","13","1",NA,NA,NA
2019,9,30,"9/30/19","King's Beach","3","ASDA","1",NA,"2","1",NA,NA,NA
2019,9,30,"9/30/19","King's Beach","3","CEBO",NA,"1","15","1",NA,NA,NA
2019,9,30,"9/30/19","King's Beach","3","BOVI",NA,"1","2","1",NA,NA,NA
2019,9,30,"9/30/19","King's Beach","3","CAIR",NA,NA,NA,"1",NA,NA,NA
2019,9,30,"9/30/19","King's Beach","3","ALDI",NA,NA,"1",NA,NA,NA,NA
2019,9,30,"9/30/19","King's Beach","4","ASFO",NA,"1","1","1",NA,NA,NA
2019,9,30,"9/30/19","King's Beach","4","BUUN","2","4","9","3",NA,NA,NA
2019,9,30,"9/30/19","King's Beach","4","CLSP","7","1",NA,"5",NA,NA,NA
2019,9,30,"9/30/19","King's Beach","4","ASDA","3",NA,NA,"8",NA,NA,NA
